core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,r2,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,avac,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,tskin,MO_optimal_550,MO_optimal_830,FDM_depth_to_550_era055_new_fit,FDM_depth_to_830_era055_new_fit,Fit_R2_era055_new_fit,Fit_model_era055_new_fit
D2,71.8,-46.2,2534.0,2003,12.01,79.58,PKM standardized cores,,Greenland,1.0,24478,71.8053,-46.1769,288,147,14.33,77.13,0.996,Power law,0.0,1.2856551620643586e-05,8.2,45.67,0.986,Logarithmic,11.646994590759276,76.79268646240234,249.38009643554688,0.6827643630308076,0.5738879115355617,,,,
D3,69.8,-44.0,2433.0,2003,11.37,63.96,PKM standardized cores,,Greenland,1.0,17727,69.7782,-44.0174,246,156,13.25,76.25,0.996,Power law,0.0,1.4504523278446868e-05,7.3,43.24,0.983,Logarithmic,11.223713874816896,75.95311737060547,250.80905151367188,0.6420404573438875,0.6760475297060663,31.84,97.72,0.987,Logarithmic
D4,71.4167,-44.0333,2999.0,2003,12.5,68.46,PKM standardized cores,,Greenland,1.0,22964,71.385,-44.0916,278,159,14.83,78.05,0.996,Power law,0.0,1.2391459677019157e-05,8.54,47.05,0.987,Logarithmic,12.399301528930664,77.9287109375,248.41151428222656,0.6831999999999999,0.6872626351153959,37.38,104.33,0.989,Logarithmic
D5,68.5,-42.9,2715.0,2003,11.6,65.85,PKM standardized cores,,Greenland,1.0,13218,68.4596,-42.9445,219,161,12.7,72.09,0.995,Power law,0.0,1.20044314826373e-05,7.32,43.52,0.982,Logarithmic,11.223820686340332,70.02572631835938,250.85647583007812,0.6310344827586207,0.6608959757023539,31.34,97.98,0.986,Logarithmic
Das1,66.0056,-43.9878,,2003,10.9,69.75,PKM standardized cores,,Greenland,1.0,6999,66.007,-43.9947,171,148,12.24,71.96,0.995,Power law,0.0,1.4173841918818653e-05,7.04,41.8,0.981,Logarithmic,10.977843284606934,70.81645965576172,252.3527374267578,0.6458715596330276,0.5992831541218637,,,,
Das2,67.5272,-36.0614,,2003,12.25,81.18,PKM standardized cores,,Greenland,1.0,10602,67.5434,-36.0644,199,212,15.35,78.1,0.996,Power law,0.0,1.4623008610215038e-05,8.94,47.86,0.984,Logarithmic,12.622268676757812,77.7724380493164,250.13925170898438,0.7297959183673469,0.5895540773589554,37.71,103.83,0.988,Logarithmic
Sandy,72.55,-38.3167,3281.0,2003,9.51,76.68,PKM standardized cores,,Greenland,1.0,26280,72.5483,-38.3336,299,196,17.36,76.31,0.994,Power law,0.0,6.242416475288337e-06,10.75,54.62,0.989,Logarithmic,16.144832611083984,76.17658996582031,244.328857421875,1.1303890641430074,0.7123109024517474,46.83,,0.99,Logarithmic
ACT_1,66.0,-46.5511,,2004,4.85,,PKM standardized cores,,Greenland,1.0,7199,65.9709,-46.5723,173,127,6.42,63.02,0.975,Power law,0.0,1.3065825442026837e-05,4.28,34.0,0.955,Logarithmic,7.742076873779297,58.65879821777344,254.86691284179688,0.8824742268041238,,13.52,83.66,0.956,Logarithmic
ACT_2,66.0119,-45.1581,2419.0,2004,12.91,73.56,PKM standardized cores,,Greenland,1.0,7211,66.0538,-45.118,173,139,10.39,69.29,0.991,Power law,0.0,1.2834953849960584e-05,6.08,40.15,0.972,Logarithmic,9.723970413208008,65.9234848022461,252.9877166748047,0.47095274980635166,0.5458129418162044,23.91,92.29,0.978,Logarithmic
ACT_3,66.0,-43.6069,,2004,11.21,77.42,PKM standardized cores,,Greenland,1.0,7002,66.0227,-43.6297,171,151,12.38,74.92,0.994,Power law,0.0,1.6317848348990083e-05,6.82,41.42,0.978,Logarithmic,10.4462308883667,74.1136245727539,252.57199096679688,0.6083853702051739,0.5350038749677086,28.37,94.5,0.983,Logarithmic
CP_2007,69.9,-47.0,2000.0,2007,10.96,80.66,SUMUP 2024,Porter and Mosley-Thompson (2014),greenland,0.99,18580,69.8936,-46.9875,251,136,7.94,67.38,0.984,Power law,0.0,1.4049877790967004e-05,4.73,37.56,0.964,Logarithmic,7.579240322113037,63.5612907409668,253.96791076660156,0.43156934306569344,0.46565831886932807,19.29,88.37,0.963,Logarithmic
