core_name,profile_key,date,region,latitude,longitude,elevation,citation,n_measurements,max_depth,max_density,depth_to_550,depth_to_830,year,source,source_doi
NEEM07S3,2485,2007-06-01,Greenland,77.450,-51.060,2460.000,Steen-Larsen et al. (2011),143,80.025,861.840,15.205,76.728,2007,SUMUP 2024,doi:10.18739/A2M61BR5M
NEEM2009S2_Baker,133,2009-01-01,Greenland,77.450,-51.060,,Baker et al. (2009),51,75.030,816.000,18.456,,2009,SUMUP 2024,doi:10.18739/A2M61BR5M
NEEM2011S1,2486,2011-06-01,Greenland,77.450,-51.060,2460.000,Sigl et al. (2013),162,184.800,922.816,15.035,73.613,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
NG2012,2488,2012-06-01,Greenland,75.017,-42.533,2917.000,Freitag et al. (2021)               ,3388,16.955,572.086,16.166,,2012,SUMUP 2024,doi:10.18739/A2M61BR5M
NGRIP_1999,2589,1999-07-01,Greenland,75.100,-42.320,2917.000,Vallelonga et al. (2014),121,69.850,816.179,17.738,,1999,SUMUP 2024,doi:10.18739/A2M61BR5M
NSE_NSE (Core 1),2185,2021-06-19,Greenland,66.498,-49.682,2360.000,GEUS snow and firn data (2023),5,1.465,575.000,0.967,,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
NSE_NSE (Core 2),2769,2021-06-19,Greenland,66.498,-49.682,2360.000,GEUS snow and firn data (2023),3,1.435,572.000,1.085,,2021,SUMUP 2024,doi:10.18739/A2M61BR5M
Nanok_PIT 01,2196,2022-04-19,Greenland,65.536,-38.967,750.000,GEUS snow and firn data (2023),6,0.500,800.000,0.170,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
Nanok_PIT 08,2203,2022-05-06,Greenland,66.324,-45.742,2238.000,GEUS snow and firn data (2023),8,0.685,800.000,0.369,,2022,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6345_1998,66,1998-05-01,Greenland,63.800,-45.000,2730.000,Mosley-Thompson et al. (2001),16,14.325,580.982,11.841,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6348_1998,64,1998-05-01,Greenland,63.000,-48.000,1960.000,Mosley-Thompson et al. (2001),16,14.500,777.586,4.851,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6642B_1998,68,1998-05-01,Greenland,66.500,-42.500,2380.000,Mosley-Thompson et al. (2001),27,20.125,608.550,10.965,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6745_1998,69,1998-05-01,Greenland,67.500,-45.000,2250.000,Mosley-Thompson et al. (2001),14,12.105,584.800,10.431,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
